timestamp,status
1775731982,BROKEN
2026-04-09T13:54:02.554288,IDLE
2026-04-09T13:55:02.554288,IDLE
1775732162,BROKEN
2026-04-09T13:57:02.554288,BROKEN
1775732282,BROKEN
1775732342,RUNNING
1775732402,RUNNING
2026-04-09T14:01:02.554288,RUNNING
1775732522,IDLE
2026-04-09T14:03:02.554288,BROKEN
2026-04-09T14:04:02.554288,BROKEN
,IDLE
2026-04-09T14:06:02.554288,RUNNING
,IDLE
1775732882,RUNNING
1775732942,IDLE
1775733002,BROKEN
2026-04-09T14:11:02.554288,BROKEN
1775733122,RUNNING
1775733182,RUNNING
2026-04-09T14:14:02.554288,IDLE
2026-04-09T14:15:02.554288,RUNNING
2026-04-09T14:16:02.554288,BROKEN
1775733422,BROKEN
1775733482,IDLE
1775733542,RUNNING
1775733602,BROKEN
1775733662,IDLE
2026-04-09T14:22:02.554288,BROKEN
1775733782,RUNNING
1775733842,RUNNING
1775733902,IDLE
1775733962,RUNNING
2026-04-09T14:27:02.554288,IDLE
2026-04-09T14:28:02.554288,IDLE
1775734142,BROKEN
2026-04-09T14:30:02.554288,IDLE
1775734262,IDLE
1775734322,BROKEN
1775734382,IDLE
1775734442,BROKEN
1775734502,RUNNING
2026-04-09T14:36:02.554288
1775734622,RUNNING
2026-04-09T14:38:02.554288,RUNNING
1775734742,IDLE
2026-04-09T14:40:02.554288,BROKEN
2026-04-09T14:41:02.554288,BROKEN
1775734922,BROKEN
1775734982,IDLE
2026-04-09T14:44:02.554288,RUNNING
1775735102,RUNNING
2026-04-09T14:46:02.554288,BROKEN
2026-04-09T14:47:02.554288,RUNNING
1775735282,IDLE
1775735342,IDLE
1775735402,IDLE
2026-04-09T14:51:02.554288,BROKEN
2026-04-09T14:52:02.554288,IDLE
1775735582,IDLE
1775735642,BROKEN
1775735702,IDLE
2026-04-09T14:56:02.554288,RUNNING
1775735822,IDLE
2026-04-09T14:58:02.554288,IDLE
1775735942,RUNNING
2026-04-09T15:00:02.554288,IDLE
2026-04-09T15:01:02.554288,IDLE
2026-04-09T15:02:02.554288,IDLE
1775736182,BROKEN
2026-04-09T15:04:02.554288,IDLE
2026-04-09T15:05:02.554288,BROKEN
2026-04-09T15:06:02.554288,BROKEN
2026-04-09T15:07:02.554288,BROKEN
2026-04-09T15:08:02.554288,IDLE
1775736542,BROKEN
1775736602,IDLE
2026-04-09T15:11:02.554288,RUNNING
1775736722,IDLE
1775736782,RUNNING
9999-99-99T99:99:99,IDLE
2026-04-09T15:15:02.554288,BROKEN
2026-04-09T15:16:02.554288,BROKEN
2026-04-09T15:17:02.554288,IDLE
2026-04-09T15:18:02.554288,RUNNING
2026-04-09T15:19:02.554288,IDLE
1775737202,BROKEN
2026-04-09T15:21:02.554288,BROKEN
1775737322,BROKEN
1775737382,RUNNING
2026-04-09T15:24:02.554288,BROKEN
1775737502,IDLE
1775737562,BROKEN
2026-04-09T15:27:02.554288,IDLE
1775737682,IDLE
1775737742,IDLE
1775737802,IDLE
2026-04-09T15:31:02.554288,RUNNING
2026-04-09T15:32:02.554288,IDLE
1775737982,IDLE
1775738042,IDLE
1775738102,BROKEN
2026-04-09T15:36:02.554288,BROKEN
2026-04-09T15:37:02.554288,IDLE
2026-04-09T15:38:02.554288,IDLE
1775738342,BROKEN
2026-04-09T15:40:02.554288,IDLE
2026-04-09T15:41:02.554288,BROKEN
1775738522,BROKEN
1775738582,RUNNING
2026-04-09T15:44:02.554288,RUNNING
2026-04-09T15:45:02.554288,RUNNING
2026-04-09T15:46:02.554288,RUNNING
1775738822,IDLE
1775738882,IDLE
1775738942,RUNNING
2026-04-09T15:50:02.554288,RUNNING
2026-04-09T15:51:02.554288,IDLE
1775739122,RUNNING
2026-04-09T15:53:02.554288,BROKEN
1775739242,RUNNING
1775739302,BROKEN
1775739362,RUNNING
2026-04-09T15:57:02.554288,BROKEN
1775739482,RUNNING
2026-04-09T15:59:02.554288,IDLE
1775739602,BROKEN
2026-04-09T16:01:02.554288,RUNNING
2026-04-09T16:02:02.554288,RUNNING
1775739782,IDLE
2026-04-09T16:04:02.554288,BROKEN
1775739902,BROKEN
1775739962,RUNNING
2026-04-09T16:07:02.554288,BROKEN
1775740082,RUNNING
1775740142,IDLE
2026-04-09T16:10:02.554288,IDLE
1775740262,BROKEN
2026-04-09T16:12:02.554288,RUNNING
2026-04-09T16:13:02.554288,IDLE
1775740442,RUNNING
2026-04-09T16:15:02.554288,IDLE
1775740562,RUNNING
2026-04-09T16:17:02.554288,IDLE
2026-04-09T16:18:02.554288,IDLE
